"DATA","ANNO","NOME_PROVINCIA","DECESSI"
"2015-01-27",15,"Sondrio",2
"2015-01-27",15,"Varese",4
"2015-01-28",15,"Bergamo",42
"2015-01-28",15,"Brescia",66
"2015-01-28",15,"Como",10
"2015-01-28",15,"Cremona",20
"2015-01-28",15,"Lecco",12
"2015-01-28",15,"Lodi",4
"2015-01-28",15,"Mantova",30
"2015-01-28",15,"Milano",146
"2015-01-28",15,"Monza e della Brianza",12
"2015-01-28",15,"Pavia",16
"2015-01-28",15,"Sondrio",0
"2015-01-28",15,"Varese",6
"2015-01-29",15,"Bergamo",46
"2015-01-29",15,"Brescia",58
"2015-01-29",15,"Como",12
"2015-01-29",15,"Cremona",16
"2015-01-29",15,"Lecco",12
"2015-01-29",15,"Lodi",28
"2015-01-29",15,"Mantova",20
"2015-01-29",15,"Milano",154
"2015-01-29",15,"Monza e della Brianza",10
"2015-01-29",15,"Pavia",24
"2015-01-29",15,"Sondrio",2
"2015-01-29",15,"Varese",0
"2015-01-30",15,"Bergamo",52
"2015-01-30",15,"Brescia",46
"2015-01-30",15,"Como",16
"2015-01-30",15,"Cremona",18
"2015-01-30",15,"Lecco",4
"2015-01-30",15,"Lodi",8
"2015-01-30",15,"Mantova",22
"2015-01-30",15,"Milano",166
"2015-01-30",15,"Monza e della Brianza",10
"2015-01-30",15,"Pavia",18
"2015-01-30",15,"Sondrio",0
"2015-01-30",15,"Varese",6
"2015-01-31",15,"Bergamo",40
"2015-01-31",15,"Brescia",62
"2015-01-31",15,"Como",18
"2015-01-31",15,"Cremona",18
"2015-01-31",15,"Lecco",2
"2015-01-31",15,"Lodi",12
"2015-01-31",15,"Mantova",14
"2015-01-31",15,"Milano",172
"2015-01-31",15,"Monza e della Brianza",12
"2015-01-31",15,"Pavia",26
"2015-01-31",15,"Sondrio",0
"2015-01-31",15,"Varese",6
"2015-02-01",15,"Bergamo",48
"2015-02-01",15,"Brescia",42
"2015-02-01",15,"Como",16
"2015-02-01",15,"Cremona",16
"2015-02-01",15,"Lecco",16
"2015-02-01",15,"Lodi",10
"2015-02-01",15,"Mantova",20
"2015-02-01",15,"Milano",162
"2015-02-01",15,"Monza e della Brianza",14
"2015-02-01",15,"Pavia",22
"2015-02-01",15,"Sondrio",2
"2015-02-01",15,"Varese",8
"2015-02-02",15,"Bergamo",44
"2015-02-02",15,"Brescia",34
"2015-02-02",15,"Como",12
"2015-02-02",15,"Cremona",18
"2015-02-02",15,"Lecco",10
"2015-02-02",15,"Lodi",12
"2015-02-02",15,"Mantova",12
"2015-02-02",15,"Milano",190
"2015-02-02",15,"Monza e della Brianza",18
"2015-02-02",15,"Pavia",22
"2015-02-02",15,"Sondrio",2
"2015-02-02",15,"Varese",10
"2015-02-03",15,"Bergamo",60
"2015-02-03",15,"Brescia",58
"2015-02-03",15,"Como",10
"2015-02-03",15,"Cremona",26
"2015-02-03",15,"Lecco",6
"2015-02-03",15,"Lodi",20
"2015-02-03",15,"Mantova",12
"2015-02-03",15,"Milano",170
"2015-02-03",15,"Monza e della Brianza",16
"2015-02-03",15,"Pavia",32
"2015-02-03",15,"Sondrio",0
"2015-02-03",15,"Varese",6
"2015-02-04",15,"Bergamo",32
"2015-02-04",15,"Brescia",60
"2015-02-04",15,"Como",16
"2015-02-04",15,"Cremona",10
"2015-02-04",15,"Lecco",8
"2015-02-04",15,"Lodi",14
"2015-02-04",15,"Mantova",24
"2015-02-04",15,"Milano",128
"2015-02-04",15,"Monza e della Brianza",16
"2015-02-04",15,"Pavia",36
"2015-02-04",15,"Sondrio",0
"2015-02-04",15,"Varese",4
"2015-02-05",15,"Bergamo",62
"2015-02-05",15,"Brescia",50
"2015-02-05",15,"Como",12
"2015-02-05",15,"Cremona",22
"2015-02-05",15,"Lecco",12
"2015-02-05",15,"Lodi",10
"2015-02-05",15,"Mantova",22
"2015-02-05",15,"Milano",162
"2015-02-05",15,"Monza e della Brianza",20
"2015-02-05",15,"Pavia",34
"2015-02-05",15,"Sondrio",4
"2015-02-05",15,"Varese",10
"2015-02-06",15,"Bergamo",56
"2015-02-06",15,"Brescia",54
"2015-02-06",15,"Como",14
"2015-02-06",15,"Cremona",20
"2015-02-06",15,"Lecco",6
"2015-02-06",15,"Lodi",20
"2015-02-06",15,"Mantova",20
"2015-02-06",15,"Milano",180
"2015-02-06",15,"Monza e della Brianza",12
"2015-02-06",15,"Pavia",20
"2015-02-06",15,"Sondrio",4
"2015-02-06",15,"Varese",8
"2015-02-07",15,"Bergamo",52
"2015-02-07",15,"Brescia",56
"2015-02-07",15,"Como",16
"2015-02-07",15,"Cremona",4
"2015-02-07",15,"Lecco",8
"2015-02-07",15,"Lodi",18
"2015-02-07",15,"Mantova",4
"2015-02-07",15,"Milano",176
"2015-02-07",15,"Monza e della Brianza",14
"2015-02-07",15,"Pavia",26
"2015-02-07",15,"Sondrio",2
"2015-02-07",15,"Varese",8
"2015-02-08",15,"Bergamo",34
"2015-02-08",15,"Brescia",54
"2015-02-08",15,"Como",8
"2015-02-08",15,"Cremona",22
"2015-02-08",15,"Lecco",12
"2015-02-08",15,"Lodi",14
"2015-02-08",15,"Mantova",28
"2015-02-08",15,"Milano",178
"2015-02-08",15,"Monza e della Brianza",12
"2015-02-08",15,"Pavia",24
"2015-02-08",15,"Sondrio",2
"2015-02-08",15,"Varese",6
"2015-02-09",15,"Bergamo",54
"2015-02-09",15,"Brescia",48
"2015-02-09",15,"Como",18
"2015-02-09",15,"Cremona",16
"2015-02-09",15,"Lecco",4
"2015-02-09",15,"Lodi",26
"2015-02-09",15,"Mantova",28
"2015-02-09",15,"Milano",150
"2015-02-09",15,"Monza e della Brianza",14
"2015-02-09",15,"Pavia",16
"2015-02-09",15,"Sondrio",2
"2015-02-09",15,"Varese",2
"2015-02-10",15,"Bergamo",58
"2015-02-10",15,"Brescia",52
"2015-02-10",15,"Como",10
"2015-02-10",15,"Cremona",18
"2015-02-10",15,"Lecco",14
"2015-02-10",15,"Lodi",14
"2015-02-10",15,"Mantova",16
"2015-02-10",15,"Milano",188
"2015-02-10",15,"Monza e della Brianza",4
"2015-02-10",15,"Pavia",28
"2015-02-10",15,"Sondrio",2
"2015-02-10",15,"Varese",2
"2015-02-11",15,"Bergamo",52
"2015-02-11",15,"Brescia",44
"2015-02-11",15,"Como",10
"2015-02-11",15,"Cremona",30
"2015-02-11",15,"Lecco",12
"2015-02-11",15,"Lodi",16
"2015-02-11",15,"Mantova",18
"2015-02-11",15,"Milano",178
"2015-02-11",15,"Monza e della Brianza",12
"2015-02-11",15,"Pavia",34
"2015-02-11",15,"Sondrio",0
"2015-02-11",15,"Varese",8
"2015-02-12",15,"Bergamo",50
"2015-02-12",15,"Brescia",68
"2015-02-12",15,"Como",10
"2015-02-12",15,"Cremona",24
"2015-02-12",15,"Lecco",8
"2015-02-12",15,"Lodi",4
"2015-02-12",15,"Mantova",10
"2015-02-12",15,"Milano",194
"2015-02-12",15,"Monza e della Brianza",2
"2015-02-12",15,"Pavia",30
"2015-02-12",15,"Sondrio",4
"2015-02-12",15,"Varese",10
"2015-02-13",15,"Bergamo",64
"2015-02-13",15,"Brescia",58
"2015-02-13",15,"Como",12
"2015-02-13",15,"Cremona",16
"2015-02-13",15,"Lecco",4
"2015-02-13",15,"Lodi",8
"2015-02-13",15,"Mantova",24
"2015-02-13",15,"Milano",176
"2015-02-13",15,"Monza e della Brianza",18
"2015-02-13",15,"Pavia",24
"2015-02-13",15,"Sondrio",2
"2015-02-13",15,"Varese",4
"2015-02-14",15,"Bergamo",38
"2015-02-14",15,"Brescia",38
"2015-02-14",15,"Como",24
"2015-02-14",15,"Cremona",14
"2015-02-14",15,"Lecco",4
"2015-02-14",15,"Lodi",4
"2015-02-14",15,"Mantova",26
"2015-02-14",15,"Milano",190
"2015-02-14",15,"Monza e della Brianza",16
"2015-02-14",15,"Pavia",22
"2015-02-14",15,"Sondrio",2
"2015-02-14",15,"Varese",8
"2015-02-15",15,"Bergamo",40
"2015-02-15",15,"Brescia",50
"2015-02-15",15,"Como",14
"2015-02-15",15,"Cremona",18
"2015-02-15",15,"Lecco",10
"2015-02-15",15,"Lodi",14
"2015-02-15",15,"Mantova",24
"2015-02-15",15,"Milano",138
"2015-02-15",15,"Monza e della Brianza",8
"2015-02-15",15,"Pavia",24
"2015-02-15",15,"Sondrio",4
"2015-02-15",15,"Varese",18
"2015-02-16",15,"Bergamo",72
"2015-02-16",15,"Brescia",48
"2015-02-16",15,"Como",14
"2015-02-16",15,"Cremona",18
"2015-02-16",15,"Lecco",12
"2015-02-16",15,"Lodi",4
"2015-02-16",15,"Mantova",24
"2015-02-16",15,"Milano",180
"2015-02-16",15,"Monza e della Brianza",18
"2015-02-16",15,"Pavia",38
"2015-02-16",15,"Sondrio",0
"2015-02-16",15,"Varese",4
"2015-02-17",15,"Bergamo",56
"2015-02-17",15,"Brescia",52
"2015-02-17",15,"Como",8
"2015-02-17",15,"Cremona",14
"2015-02-17",15,"Lecco",12
"2015-02-17",15,"Lodi",12
"2015-02-17",15,"Mantova",14
"2015-02-17",15,"Milano",156
"2015-02-17",15,"Monza e della Brianza",16
"2015-02-17",15,"Pavia",22
"2015-02-17",15,"Sondrio",2
"2015-02-17",15,"Varese",8
